City,Country,Max Temp,Humidity,Clouds,Wind Speed,Lat,Lng
ube,JP,50.0,57,75,4.7,33.96,131.25
mehriz,IR,44.6,33,0,4.7,31.58,54.44
bakchar,RU,15.59,88,68,2.57,57.02,82.07
fort nelson,CA,30.2,50,75,2.19,58.81,-122.69
atuona,PF,80.84,100,12,7,-9.8,-139.03
grand river south east,,,,,,,
verkhnyaya toyma,RU,6.09,64,0,4.76,62.24,45
hammond,US,64.4,87,75,3.98,30.5,-90.46
zyryanka,RU,-16.59,71,76,7,65.73,150.89
cananea,MX,68.0,18,8,5.59,30.98,-110.3
urumqi,,,,,,,
goure,NE,69.41,46,100,7.72,13.98,10.27
aykhal,RU,7.94,69,80,7.34,65.95,111.51
maebaru,JP,53.01,53,75,3.36,33.55,130.2
mtambile,TZ,82.28,100,44,11.41,-5.38,39.7
poum,MK,24.86,82,0,3.76,41.28,20.71
sulangan,PH,77.73,100,0,15.32,11.14,123.72
concordia,AR,62.01,56,0,3,-31.4,-58.02
undory,RU,19.4,92,90,2.24,54.61,48.39
wenling,CN,50.0,95,92,5.03,28.38,121.38
coquimbo,CL,60.8,87,20,5.82,-29.95,-71.34
lagoa,PT,59.0,72,0,11.41,37.14,-8.45
egvekinot,RU,24.54,88,80,15.66,66.32,-179.17
tiznit,MA,53.43,74,8,1.19,29.7,-9.73
clyde river,CA,-23.81,74,20,3.36,70.47,-68.59
kailua,US,80.6,44,40,12.75,21.39,-157.74
lahat,ID,73.1,97,64,4.88,-3.78,103.55
guerrero negro,MX,67.16,51,8,9.4,27.97,-114.04
havre-saint-pierre,CA,26.6,79,90,16.11,50.23,-63.6
cartagena,ES,48.99,70,0,5.82,37.63,-1
vao,EE,21.17,75,8,4.81,59.1,26.19
hithadhoo,MV,81.83,100,36,12.26,-0.6,73.08
talnakh,RU,-10.43,68,48,2.98,69.49,88.39
esperance,TT,78.01,78,20,5.82,10.24,-61.45
north bend,US,39.2,96,90,10.29,43.41,-124.22
banda aceh,ID,74.09,97,24,2.86,5.56,95.32
satitoa,,,,,,,
severo-kurilsk,RU,21.71,100,44,16.62,50.68,156.12
samusu,,,,,,,
cabo san lucas,MX,73.99,60,5,8.05,22.89,-109.91
le mars,US,8.6,77,90,8.05,42.79,-96.17
verkhnevilyuysk,RU,12.48,71,56,7.56,63.45,120.31
sentyabrskiy,,,,,,,
buraydah,SA,66.2,68,75,10.29,26.33,43.97
dingle,PH,74.94,70,0,12.53,11,122.67
kahului,US,75.0,78,75,11.41,20.89,-156.47
cozumel,,,,,,,
mananjary,MG,62.12,92,12,5.82,-19.16,46.8
mahon,IE,48.0,100,75,11.41,51.89,-8.4
cherskiy,RU,-5.52,81,80,2.35,68.75,161.3
san cristobal,EC,59.0,87,75,9.17,-0.39,-78.55
mbaiki,CF,73.68,95,80,2.53,3.87,17.99
brae,GB,46.4,100,56,11.41,60.4,-1.35
victor harbor,AU,91.0,44,0,11.41,-35.55,138.62
tumannyy,,,,,,,
bolungarvik,,,,,,,
manuk mangkaw,PH,80.39,100,0,10.4,4.8,119.85
tselinnoye,UA,32.15,97,88,8.61,45.9,34.18
honiara,SB,85.88,65,8,3.09,-9.43,159.96
gizo,IL,59.0,72,75,6.93,31.8,34.94
yarada,IN,71.6,94,20,2.24,17.65,83.27
alofi,NU,82.41,98,80,27.96,-19.06,-169.92
kavaratti,IN,81.56,100,0,10.25,10.57,72.64
comodoro rivadavia,AR,59.0,67,20,10.29,-45.87,-67.48
faanui,PF,83.63,100,0,3.58,-16.48,-151.75
buba,GW,74.04,31,0,9.28,11.59,-14.99
carutapera,BR,76.61,97,92,5.21,-1.2,-46.02
chalatenango,SV,80.6,69,0,3.36,14.04,-88.94
khasan,RU,30.48,96,0,4.25,42.43,130.64
janakpur road,,,,,,,
antofagasta,CL,68.0,82,75,11.41,-23.65,-70.4
santa fe,AR,68.0,52,0,4.47,-31.62,-60.7
vostok,RU,17.43,51,0,3.58,46.45,135.83
kamenskoye,,,,,,,
poronaysk,RU,17.88,69,0,10.36,49.22,143.1
zolotinka,,,,,,,
le port,FR,46.99,27,0,1.3,42.87,1.37
samarinda,ID,79.58,78,0,3.53,-0.5,117.14
hirosaki,JP,39.0,88,75,11.41,40.61,140.38
provideniya,RU,32.0,91,40,17.9,64.42,-173.23
esna,RO,33.99,86,44,13.27,45.2,27.57
pattani,TH,77.0,94,75,3.36,6.87,101.25
halmstad,SE,39.99,100,90,1.12,56.67,12.86
olinda,EC,82.99,78,75,3.36,-2.03,-79.75
ushumun,RU,11.9,66,68,1.79,52.78,126.54
jumla,NP,20.04,91,88,1.74,29.28,82.18
tombouctou,ML,58.34,33,0,12.75,16.77,-3.01
chipiona,PE,59.42,80,76,2.24,-14.54,-75.2
avera,US,64.4,63,40,4.7,33.19,-82.53
aksarka,RU,-12.5,58,0,11.25,66.56,67.8
chapais,CA,-11.21,76,40,8.05,49.78,-74.86
akureyri,IS,35.6,74,90,8.05,65.68,-18.09
dzerzhinskoye,RU,13.34,91,32,3.36,56.84,95.22
katsuura,JP,46.99,65,75,6.93,33.93,134.5
kropotkin,RU,29.63,94,92,3.24,45.43,40.58
hailun,CN,19.46,44,0,10.58,47.46,126.97
quelimane,MZ,78.8,83,20,4.81,-17.88,36.89
havoysund,NO,28.4,86,75,9.17,71,24.66
sao luiz gonzaga,BR,67.7,70,48,8.39,-28.41,-54.96
padang,ID,78.8,94,75,3.36,-0.92,100.36
lebu,ET,53.6,37,0,3.36,8.96,38.73
touros,BR,80.6,88,20,3.36,-5.2,-35.46
gurgan,,,,,,,
moyale,ET,69.05,36,0,8.57,3.52,39.05
henties bay,NA,65.27,98,0,4.09,-22.12,14.28
meadow lake,CA,6.8,71,90,17.22,54.13,-108.44
ngukurr,,,,,,,
shache,CN,20.27,79,36,2.68,38.42,77.24
longyearbyen,NO,8.6,78,75,10.29,78.22,15.63
corner brook,CA,21.2,79,90,14.99,48.95,-57.95
pocinhos,BR,77.0,88,75,12.75,-7.08,-36.06
yeppoon,AU,84.2,45,20,14.99,-23.13,150.74
stornoway,,,,,,,
tawau,MY,80.6,74,75,3.36,4.26,117.89
scarborough,GB,42.01,93,0,2.24,54.28,-0.41
tiarei,PF,84.2,74,75,5.82,-17.53,-149.33
codrington,AU,80.6,50,40,6.93,-28.95,153.24
beauchamps,FR,51.8,71,0,5.82,48.83,-1.36
alotau,,,,,,,
poya,NC,77.73,96,24,28.19,-21.35,165.16
belaya gora,RU,-30.14,49,56,4.47,68.54,146.19
huilong,CN,38.99,95,92,5.48,28.89,110.18
palabuhanratu,,,,,,,
pafos,,,,,,,
shingu,JP,48.2,42,75,6.93,33.72,135.99
vilyuysk,RU,12.17,72,64,7,63.75,121.63
semenyih,MY,80.6,78,75,2.57,2.95,101.84
kisanga,CD,62.66,81,0,2.8,-11.72,27.4
bandarbeyla,SO,76.97,100,20,12.3,9.49,50.81
dakoro,NE,71.16,41,76,5.48,14.51,6.76
marzuq,YE,47.45,73,0,2.53,14.4,46.47
port macquarie,AU,81.0,60,75,8.05,-31.43,152.91
seoni malwa,IN,59.96,68,0,8.5,22.45,77.47
kulunda,RU,29.76,91,92,11.36,52.57,78.94
dewas,IN,60.8,72,40,9.51,22.96,76.05
komsomolskiy,RU,-3.41,73,68,17.9,67.55,63.78
sumbawa,,,,,,,
huanren,CN,20.04,58,44,2.19,41.26,125.37
petropavlovsk-kamchatskiy,RU,15.8,47,56,11.18,53.05,158.65
kamarion,GR,55.0,66,20,11.41,36.8,25.82
sangin,AF,30.66,80,0,2.24,32.07,64.85
flin flon,CA,8.6,78,75,8.05,54.77,-101.88
pozo colorado,PY,71.3,88,76,11.86,-23.49,-58.8
kavieng,PG,80.88,100,88,11.63,-2.57,150.8
port moresby,PG,86.0,66,40,5.82,-9.47,147.16
westport,IE,46.0,76,68,1.01,53.8,-9.52
kaitangata,NZ,57.26,71,20,20.54,-46.28,169.85
formosa do rio preto,BR,74.63,80,36,8.84,-11.04,-45.19
obo,CF,72.92,79,32,3.2,5.39,26.49
kampene,CD,71.39,93,32,2.98,-3.59,26.67
nova olinda do norte,BR,78.99,87,24,3.8,-3.89,-59.1
kidal,ML,56.04,31,0,11.86,18.44,1.41
pestravka,RU,22.25,90,88,5.32,52.4,49.95
salgar,CO,60.8,100,75,2.24,5.96,-75.98
paranapanema,BR,70.13,97,56,5.77,-23.39,-48.72
sayat,TM,41.0,75,0,11.41,38.78,63.88
bairiki,,,,,,,
sabang,PH,75.35,94,76,9.57,13.72,123.58
villarrica,CL,59.0,72,0,5.82,-39.28,-72.23
san quintin,PH,69.36,70,0,6.38,17.54,120.52
grenville,CA,5.0,54,20,6.93,45.62,-74.6
chaman,AF,21.89,69,0,2.75,30.92,66.46
geraldton,CA,-0.41,59,75,5.82,49.72,-86.95
hasaki,JP,48.0,45,75,12.75,35.73,140.83
severnoye,RU,16.85,87,88,5.21,54.09,52.54
youkounkoun,GN,73.19,21,0,11.25,12.53,-13.12
isangel,VU,77.73,100,76,15.1,-19.55,169.27
chateauroux,FR,50.0,93,0,2.24,43.72,0.65
tabiauea,,,,,,,
roald,NO,48.2,89,44,19.46,62.58,6.12
nome,US,62.6,82,90,10.29,30.04,-94.42
kibala,TD,77.0,29,0,4.7,9.11,18.35
sao raimundo das mangabeiras,BR,71.21,94,32,3.31,-7.02,-45.48
voi,KE,67.97,89,0,3.53,-3.4,38.57
ruwi,OM,62.6,48,0,2.24,23.6,58.55
torbay,CA,21.99,85,90,25.28,47.66,-52.73
klaksvik,FO,44.6,81,0,9.17,62.23,-6.59
port hardy,CA,41.0,23,5,16.11,50.7,-127.42
darnah,LY,58.7,100,88,29.71,32.77,22.64
ust-tsilma,RU,-0.26,64,0,6.49,65.44,52.15
pompeia,BR,76.38,86,44,2.86,-22.11,-50.17
hauterive,FR,43.0,80,0,3.36,46.09,3.45
alugan,PH,76.74,92,80,10.02,12.22,125.48
konstantinovka,MD,33.01,85,80,3,47.99,28.86
miranda,CO,78.8,65,40,9.17,3.25,-76.23
agadez,NE,65.18,41,76,5.21,16.97,7.99
rottweil,DE,45.0,76,0,2.3,48.17,8.63
puerto escondido,MX,86.0,62,40,9.17,15.86,-97.07
denpasar,ID,82.4,88,20,5.82,-8.65,115.22
donegal,IE,48.39,84,24,6.82,54.65,-8.11
meyungs,,,,,,,
kandrian,PG,83.18,83,36,2.98,-6.21,149.55
san juan,PH,82.0,65,20,11.41,14.6,121.03
jiddah,,,,,,,
siva,GR,52.0,87,20,4.7,35.21,25.04
stamsund,,,,,,,
osoyoos,CA,30.2,45,40,8.05,49.03,-119.47
troy,US,19.99,72,1,3.36,42.73,-73.69
pyshma,RU,1.55,58,44,4.88,56.95,63.25
tevaitoa,PF,84.84,98,8,6.49,-16.78,-151.5
acajutla,SV,84.62,39,0,3.58,13.59,-89.83
rocha,UY,54.51,64,0,6.26,-34.48,-54.34
steinfurt,DE,42.01,80,0,1.12,52.13,7.39
asau,,,,,,,
axim,GH,82.86,98,68,9.84,4.87,-2.24
sangmelima,CM,69.41,99,92,0.18,2.93,11.98
arlit,NE,60.18,67,0,6.82,18.74,7.39
opuwo,NA,66.21,69,0,3.69,-18.06,13.84
noyabrsk,RU,12.48,100,80,12.93,63.2,75.45
ushtobe,KZ,17.93,63,48,1.97,45.25,77.98
colares,PT,59.0,76,0,5.82,38.8,-9.45
vallenar,CL,64.46,82,8,2.19,-28.58,-70.76
lydenburg,ZA,66.99,82,0,1.86,-25.1,30.46
kostomuksha,RU,26.03,93,80,7.05,64.59,30.6
bonthe,SL,79.13,85,0,5.32,7.53,-12.5
paducah,US,52.0,81,1,3.2,37.08,-88.6
vila velha,BR,81.0,83,0,3.36,-3.71,-38.6
murakami,JP,42.8,60,75,5.82,38.29,139.58
palencia,ES,48.99,52,0,1.01,42.01,-4.53
namatanai,PG,83.0,98,80,7.27,-3.66,152.44
kjopsvik,NO,41.0,86,92,41.38,68.1,16.37
beihai,CN,44.6,33,40,2.24,38.95,121.19
tunduru,,,,,,,
souillac,FR,50.0,81,0,4.59,45.6,-0.6
porto walter,BR,80.12,79,0,2.19,-8.27,-72.74
zhigansk,RU,-3.05,73,76,6.55,66.77,123.37
necochea,AR,57.99,73,20,4.88,-38.55,-58.74
lazaro cardenas,MX,75.2,14,5,17.22,28.39,-105.62
alice springs,AU,91.4,24,0,8.05,-23.7,133.88
galatas,GR,55.4,66,20,9.17,38.36,21.56
polunochnoye,RU,18.29,87,88,10.92,60.87,60.43
luzhou,CN,48.71,99,92,2.8,28.89,105.45
morondava,MG,78.41,100,8,3.09,-20.3,44.28
sechura,PE,79.49,76,8,9.84,-5.56,-80.82
soyo,AO,78.68,92,76,3.31,-6.13,12.37
beringovskiy,RU,30.21,89,80,27.07,63.05,179.32
niono,ML,60.05,23,0,12.08,14.25,-5.99
la romana,DO,77.0,88,40,6.93,18.43,-68.97
la ronge,CA,10.4,78,90,9.17,55.1,-105.3
katobu,ID,79.94,100,68,5.59,-4.94,122.53
chipinge,ZW,69.81,90,0,2.75,-20.19,32.62
omsukchan,RU,-15.47,60,48,5.48,62.53,155.8
panjab,AF,-13.62,43,0,1.86,34.38,67.02
portland,US,35.6,34,75,26.4,45.52,-122.67
te anau,NZ,50.96,67,56,9.84,-45.41,167.72
bathsheba,BB,78.86,97,88,17.78,13.22,-59.52
marsa matruh,EG,53.6,87,40,9.17,31.35,27.25
miraflores,CO,54.51,72,44,1.79,5.2,-73.14
beyneu,KZ,29.99,94,92,4.7,45.32,55.19
sao miguel do oeste,,,,,,,
saint-augustin,FR,50.0,76,0,3.36,44.83,-0.61
vestmannaeyjar,IS,42.99,90,92,18.52,63.44,-20.27
koshurnikovo,RU,14.42,75,32,3.8,54.3,93.39
kaka,TM,29.09,81,0,4.54,37.35,59.62
iracemapolis,BR,69.8,88,40,4.7,-22.58,-47.52
seoul,KR,44.6,42,1,2.24,37.57,126.98
vardo,US,41.0,40,90,6.93,39.62,-77.74
ileza,RU,6.63,70,0,9.35,61.05,43.9
esil,KZ,12.39,88,88,6.49,51.96,66.41
fort-shevchenko,KZ,33.09,100,92,4.25,44.51,50.26
nemuro,JP,24.8,62,20,5.82,43.32,145.57
bara,NG,76.43,42,44,3.69,10.41,10.6
husavik,CA,1.0,72,48,8.99,50.56,-96.99
srednekolymsk,RU,-16.64,71,76,4.54,67.46,153.71
myrtle grove,US,59.0,71,90,3.24,33.31,-91.27
dobryanka,RU,19.4,92,75,8.95,58.45,56.42
tshela,CD,75.39,93,92,4.36,-4.99,12.94
ridgecrest,US,68.0,8,75,20.8,35.62,-117.67
araguaina,BR,71.43,96,88,3.02,-7.19,-48.21
saint-leu,RE,80.6,74,0,5.82,-21.15,55.28
oranjemund,ZA,64.23,95,48,18.63,-28.55,16.43
whitehorse,CA,21.2,53,40,5.82,60.72,-135.06
